Table 32.	
NONIMMIGRANT TEMPORARY WORKER ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF CITIZENSHIP: FISCAL YEAR 2017	

Region and country of citizenship	Total temporary workers and families1	Workers in specialty occupations	Seasonal agricultural workers	Seasonal non-agricultural workers	Workers with extraordinary ability/ achievement	Athletes, artists, and entertainers	Intracompany transferees	Treaty traders and investors	Other	
(H1B)	(H2A)	(H2B, H2R)2	(O1, O2)	(P1 to P3)	(L1)	(E1 to E3)3	
REGION	
Portugal	6776	910	-	44	771	189	2945	165	1752	
Qatar	44	D	-	-	-	-	23	-	D	
Romania	4654	779	241	421	314	190	1505	311	893	
Russia	15659	2086	-	D	1875	2161	4355	D	4979	
Rwanda	93	44	-	-	-	-	27	-	22	
Saint Kitts and Nevis	124	34	-	-	5	14	23	6	42	
Saint Lucia	101	51	-	-	11	8	17	-	14	
Saint Vincent and the Grenadines	56	28	-	-	10	11	D	-	D	
Samoa	14	-	-	-	-	-	-	-	14	
San Marino	6	-	-	-	-	-	-	-	6	
Saudi Arabia	1575	200	-	-	54	6	526	-	789	
Senegal	204	52	-	-	47	19	24	5	57	
Serbia and Montenegro (former)	1386	253	-	166	191	200	325	35	216	
Seychelles	3	-	-	-	-	-	-	-	3	
Sierra Leone	36	17	-	-	-	4	5	-	10	
Singapore	8442	3673	-	-	168	29	2252	201	2119	
Slovakia	2106	224	-	65	190	138	822	235	432	
Slovenia	1061	139	D	D	158	53	283	259	162	
Somalia	D	-	-	-	-	D	-	-	D	
South Africa	12130	966	2869	1666	694	353	3096	75	2411	
South Sudan	D	-	-	-	D	-	-	-	D	
Spain	52226	5427	D	D	4060	1133	14843	16264	10468	
Sri Lanka	1363	446	-	-	16	39	336	84	442	
Sudan	58	21	-	-	-	D	D	-	28	
Suriname	102	34	-	-	D	-	D	34	24	
Swaziland	27	15	D	-	-	D	6	-	D	
Sweden	19425	1224	-	-	3029	1640	5773	3196	4563	
Switzerland	11548	1056	D	D	1257	330	4131	2349	2422	
Syria	134	13	-	-	3	14	37	4	63	
Taiwan	18937	5025	-	-	617	411	3285	5888	3711	
Tajikistan	54	17	-	-	3	3	8	-	23	
Tanzania	243	82	-	-	18	46	17	-	80	
Thailand	2899	669	37	-	145	143	506	698	701	
Timor-Leste	D	-	-	-	-	-	-	-	D	
Togo	42	24	-	-	D	-	-	-	D	
Tonga	45	-	-	-	-	11	-	-	34	
Trinidad and Tobago	2995	570	-	-	319	656	836	176	438	
Tunisia	434	88	-	-	24	11	136	31	144	
Turkey	9717	2309	-	36	435	58	1856	2919	2104	
Turkmenistan	53	D	-	-	-	D	22	D	22	
Uganda	693	177	-	-	14	287	62	-	153	
Ukraine	7928	1154	213	296	606	920	1963	190	2586	
United Arab Emirates	130	29	-	-	D	-	73	-	D	
United Kingdom11	173069	11628	86	812	29651	6048	62420	26153	36271	
Uruguay	1523	296	46	-	154	95	519	103	310	
Uzbekistan	267	40	-	-	9	36	48	3	131	
Vanuatu	12	D	-	-	-	8	-	-	D	
Venezuela	20137	3280	-	-	1810	2131	5578	2385	4953	
Vietnam	2725	885	-	-	138	214	429	26	1033	
Yemen	43	6	-	-	-	-	13	-	24	
Zambia	137	50	-	D	4	D	19	D	60	
Zimbabwe	646	260	D	D	38	47	169	11	117	
Unknown	2562	549	15	143	262	163	557	255	618	
D Data withheld to limit disclosure.	
- Represents zero.	
1 Includes principals and dependents (CW1, CW2, E1 to E3, H1B, H1B1, H1C, H2A, H2B, H2R, H3, H4, I1, L1, L2, O1 to O3, P1 to P4, Q1, R1, R2, TD, and TN admissions).	
2 Issuances of H2R (returning H2B workers not subject to annual numerical limits) ceased at the end of 2007.	
3 Includes principals and dependents.	
4 Australia includes Australia, Norfolk Island, Christmas Island, and Cocos (Keeling) Islands.	
5 China includes the People's Republic of China, Hong Kong, and Macau.	
6 Denmark includes Denmark, Faroe Islands, and Greenland.	
7 France includes France, French Guiana, French Polynesia, French Southern and Antarctic Lands, Guadeloupe, Martinique, Mayotte, New Caledonia, Reunion, Saint Barthelemy, Saint Pierre and Miquelon, and Wallis and Futuna.	
8 Morocco includes Morocco and Western Sahara.	
9 Netherlands includes the Netherlands, Aruba, Bonaire, Curacao, Saba, Sint Eustatius, and Sint Maarten.	
10 New Zealand includes New Zealand, Cook Islands, Tokelau, and Niue.	
11 United Kingdom includes the United Kingdom, Anguilla, Bermuda, British Virgin Islands, Cayman Islands, Falkland Islands, Gibraltar, Guernsey, Isle of Man, Jersey, Montserrat, Pitcairn Islands, Saint Helena, and Turks and Caicos Islands.	
Notes: Admissions represent counts of events (i.e., arrivals) not unique individuals. Multiple entries of an individual on the same day are counted as one admission.	
The majority of short-term admissions from Canada and Mexico are excluded.	
Source: U.S. Department of Homeland Security.	
