Table 26.	
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF CITIZENSHIP: FISCAL YEARS 2008 TO 2017	

Lithuania	15991	20188	21595	23809	27337	27854	31612	32932	33528	28461	
Luxembourg	12918	12878	14349	14926	15519	15785	16260	15748	15519	14395	
Macedonia	7964	7618	8441	9419	9520	9436	9855	10321	10818	11979	
Madagascar	1267	1084	1189	1117	1145	1265	1699	1750	1993	1975	
Malawi	2054	1850	2001	2070	2280	2359	2547	3219	3198	3356	
Malaysia	85631	66410	80549	91502	97410	102605	108926	105570	102778	101047	
Maldives	403	343	368	410	368	420	559	564	453	659	
Mali	4549	4464	4405	4121	3370	3806	4331	4219	4664	4653	
Malta	5556	5258	5835	6053	6301	6379	6751	6434	6936	7319	
Marshall Islands	207	238	179	174	148	176	261	200	180	201	
Mauritania	1125	955	1130	988	1086	1303	1953	2083	1922	1403	
Mauritius	3491	3411	4455	4746	5632	5892	7095	6825	6967	7026	
Mexico	7273511	6601059	12917745	17052559	16462118	17980784	20002936	20378001	19767022	19326562	
Micronesia, Federated States	201	196	189	181	258	209	130	159	175	181	
Moldova	11402	8369	10596	10669	11293	12604	12939	12600	12954	11561	
Monaco	1225	1303	1274	1099	1270	1194	1210	1311	1373	1249	
Mongolia	6739	7901	9885	10648	10399	11819	14013	14808	15447	15380	
Morocco8	21029	21991	24686	25999	27765	30618	34910	37058	38333	36968	
Mozambique	1260	1288	1343	1497	1764	2278	2729	2807	2728	2546	
Namibia	1568	1613	1714	2002	2249	2165	2447	2565	2524	2739	
Nauru	100	76	102	128	120	85	110	115	187	128	
Nepal	20924	18003	18537	18937	18475	19419	23387	30019	36526	39062	
Netherlands9	836900	760738	764482	784441	785029	781198	814560	801610	820312	853332	
New Zealand10	241458	215037	233987	246787	266494	295210	318692	336645	353615	371173	
Nicaragua	57497	53426	52925	53023	56380	59296	65866	69935	79704	77049	
Niger	1243	1380	1244	1209	1312	1583	1566	1759	1953	2054	
Nigeria	88732	88473	97402	104483	121177	157509	197750	214519	216111	215801	
Norway	244827	228229	251321	282734	300258	320842	345156	336555	303526	319594	
Oman	2806	2978	3257	3457	5729	7794	10717	11419	11430	10331	
Pakistan	57922	56672	63182	61957	69222	78246	102953	119644	137567	124800	
Palau	202	210	311	205	282	136	90	160	137	91	
Panama	111354	112596	124113	125162	132615	143365	153115	162027	173906	162076	
Papua New Guinea	878	862	1091	1100	1020	1301	1438	1939	1507	1122	
Paraguay	15833	15290	17501	19356	20825	27498	31410	32942	33663	32283	
Peru	227158	221301	223750	223732	231103	261827	292752	320007	344978	342442	
Philippines	334894	311907	326216	319609	327757	358961	404566	420917	451332	485524	
Poland	186888	157116	152951	154423	149046	168854	207179	217453	230781	242920	
Portugal	143053	128463	148962	161699	164200	174757	194054	190056	193066	204627	
Qatar	4900	5451	7592	9966	12210	15894	18740	20194	19961	16352	
Romania	76799	64118	69401	74763	76255	82238	94041	96349	103562	108786	
Russia	206629	197173	229725	269566	299911	364116	413011	323435	317538	344368	
Rwanda	2840	2772	3132	3489	4168	4074	5039	5065	6174	5883	
Saint Kitts and Nevis	15761	13243	13450	12584	11734	11559	12449	12950	13011	13101	
Saint Lucia	19458	17573	20100	18237	16767	15959	16922	17859	19565	18635	
Saint Vincent and the Grenadines	14545	14076	14271	13469	12745	12204	12371	12562	12639	12368	
Samoa	2305	2251	2425	1965	1812	2021	2137	2413	2576	2459	
San Marino	774	677	797	924	765	745	787	912	768	751	
Sao Tome and Principe	78	78	63	66	45	77	120	106	89	99	
Saudi Arabia	46853	61530	91934	138055	193462	232782	291715	306182	264698	190983	
Senegal	9437	9582	10005	10137	9824	10518	11390	10796	11320	11287	
Serbia and Montenegro (former)	3737	1787	1151	663	173	3376	7336	40528	41320	35279	
Seychelles	363	277	340	333	365	429	480	508	529	465	
Sierra Leone	2892	2711	2900	3052	3059	3188	3547	3288	3303	3878	
Singapore	132889	103762	126095	149258	161576	162922	168686	163668	160186	161433	
Slovakia	28702	36341	39776	45930	46597	49173	54303	55113	58577	61425	
Slovenia	24812	24437	23539	24108	24803	22977	26152	27977	28326	29360	
Solomon Islands	333	292	378	440	344	411	342	307	506	335	
Somalia	248	243	279	182	252	215	343	359	441	321	
South Africa	123725	107238	111173	120383	127973	135400	148243	153290	150967	155696	
South Sudan	X	X	X	NA	NA	NA	528	541	487	495	
Spain	830812	763335	823199	891635	882313	934322	1044430	1052251	1116186	1143548	
Sri Lanka	19156	16865	18431	20411	21072	23015	26816	27954	29591	31478	
Sudan	2319	2584	2840	3585	3663	3196	4474	4792	6409	4425	
Suriname	6926	7851	8535	9057	10642	12618	13316	14971	13259	13624	
Swaziland	556	649	678	593	664	863	1129	1145	1080	562	
Sweden	470303	414126	426253	509356	520762	551820	614592	623935	622710	607993	
Switzerland	339106	340943	377973	456226	484359	472914	494892	484475	478886	459938	
Syria	7441	7575	8904	9484	10934	15004	17187	16010	13575	9954	
Taiwan	332764	272105	327297	336533	313837	444046	484849	487570	515978	524357	
Tajikistan	2372	1948	2037	2160	1975	1709	1836	1999	2307	2394	
Tanzania	6736	6855	7277	7168	7731	7635	8665	9677	8683	8074	
Thailand	101622	87664	95687	96924	98172	109761	120540	116992	122840	124577	
Timor-Leste	D	-	5	-	-	34	226	232	244	238	
Togo	1855	1765	1800	1964	2003	2186	2560	2671	3044	3120	
Tonga	3110	2572	2373	2336	2016	2202	2561	3417	4497	4276	
Trinidad and Tobago	177916	173660	166423	159618	169251	164705	174506	189641	197990	195355	
Tunisia	6241	6334	7713	8187	9556	11287	13467	13523	15169	14633	
Turkey	147837	134839	148096	167767	175933	192113	214958	226665	243688	220195	
Turkmenistan	706	893	1077	1059	1171	1345	1777	1691	1614	1791	
Tuvalu	257	208	193	240	198	151	182	167	203	168	
Uganda	8300	7765	7773	7919	8926	9398	10308	11222	11536	12914	
Ukraine	75308	66069	71400	76886	82565	87913	100877	118352	127667	130093	
United Arab Emirates	11165	13258	16889	20452	23110	28897	38542	40507	41204	36630	
United Kingdom11	5480917	4713284	4539392	4547728	4486666	4566669	4814079	4968049	5210880	5076167	
Uruguay	44087	43515	49013	54053	59590	70535	80666	81603	87420	85291	
Uzbekistan	5203	5723	7123	6740	7694	9930	10000	11988	12414	14049	
Vanuatu	213	201	150	191	198	203	208	236	266	245	
Venezuela	531685	524246	527902	597555	700840	815797	774782	643784	645928	583196	
Vietnam	55251	47468	54299	57839	63383	73913	93986	114572	121336	134687	
Yemen	1616	1853	2223	2256	3179	3904	5896	5549	5679	3839	
Zambia	3449	2944	3847	3865	4585	4887	5441	5627	5430	6071	
Zimbabwe	7968	7238	7382	8352	8906	8738	10048	10754	10918	11791	
Unknown	181007	294588	561254	484151	275090	164788	25716	51469	161456	95266	
NA Not available.	
X Not applicable.	
D Data withheld to limit disclosure.	
- Represents zero.	
1 Beginning in 2010 the number of I-94 nonimmigrant admissions greatly exceeds totals reported in previous years due to a more complete count of land admissions.	
2 Beginning in 2017, the preceding year’s figures (i.e. 2016) will be updated to correct any undercounting due to lag in reporting within the data system between the publication of last year’s data and the current year.	
3 Australia includes Australia, Norfolk Island, Christmas Island, and Cocos (Keeling) Islands.	
4 The number of I-94 nonimmigrant admissions beginning in 2013 greatly exceeds totals reported in previous years due to a more complete count of Canadian air and sea admissions.	
5 China includes the People's Republic of China, Hong Kong, and Macau.	
6 Denmark includes Denmark, Faroe Islands, and Greenland.	
7 France includes France, French Guiana, French Polynesia, French Southern and Antarctic Lands, Guadeloupe, Martinique, Mayotte, New Caledonia, Reunion, Saint Barthelemy, Saint Pierre and Miquelon, and Wallis and Futuna.	
8 Morocco includes Morocco and Western Sahara.	
9 Netherlands includes the Netherlands, Aruba, Bonaire, Curacao, Saba, Sint Eustatius, and Sint Maarten.	
10 New Zealand includes New Zealand, Cook Islands, Tokelau, and Niue.	
11 United Kingdom includes the United Kingdom, Anguilla, Bermuda, British Virgin Islands, Cayman Islands, Falkland Islands, Gibraltar, Guernsey, Isle of Man, Jersey, Montserrat, Pitcairn Islands, Saint Helena, and Turks and Caicos Islands.	
Notes: Admissions represent counts of events (i.e., arrivals) not unique individuals. Multiple entries of an individual on the same day are counted as one admission.	
The majority of short-term admissions from Canada and Mexico are excluded.	
Source: U.S. Department of Homeland Security.	
