Fiscal Year 2016	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Seychelles	4	14	0	13	139	7	0	0	0	17	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	17	0	5	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	235	
Sierra Leone	6	91	2	14	1,259	21	0	0	5	2	0	2	0	0	0	0	0	0	0	0	0	86	8	0	40	13	0	65	1	2	0	0	0	0	0	0	1	58	4	68	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,761	0	1,761	
Somalia	14	15	0	10	221	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	10	30	4	15	0	1	0	0	0	0	0	0	0	15	1	54	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	451	0	451	
South Africa	93	543	7	547	45,240	786	0	0	169	2,990	0	64	0	0	1	0	18	0	0	5	0	894	56	0	38	137	0	208	8	194	0	0	2,335	1,977	1	170	66	2,353	77	120	14	0	0	833	718	75	3	0	0	1	0	0	0	0	0	0	0	122	23	53	126	0	112	10	33	29	20	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	61,273	0	61,273	
South Sudan	46	23	0	3	222	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	19	96	0	10	0	2	0	0	0	0	0	0	1	46	2	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	543	
Sudan	60	67	90	385	5,384	83	0	0	5	0	0	1	0	0	21	0	0	0	0	0	0	320	28	0	80	166	0	70	0	21	0	0	0	0	0	9	12	105	19	28	0	1	0	3	3	7	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6,979	0	6,979	
Swaziland	14	12	0	1	430	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	50	1	0	3	53	1	8	0	3	0	0	0	0	0	0	3	30	2	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	631	
Tanzania	47	257	0	90	4,895	8	0	0	34	181	0	5	0	0	1	0	0	0	0	0	0	419	19	0	66	155	0	119	2	38	0	0	0	0	0	10	5	257	14	33	1	0	0	8	3	18	0	0	0	0	0	0	0	0	0	0	0	4	0	0	14	0	9	0	1	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6,737	0	6,737	
Togo	21	162	3	6	1,574	1	0	0	44	0	0	0	0	0	10	0	0	0	0	0	0	119	0	0	13	22	0	22	1	6	0	0	0	0	0	0	1	44	8	50	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	4	0	0	1	2	0	0	2,122	0	2,122	
Tunisia	26	625	5	22	6,997	19	0	0	6	340	0	1	0	0	0	1	6	0	0	0	0	290	16	0	12	94	0	44	3	24	0	0	0	0	2	15	13	551	24	31	2	1	0	17	19	9	1	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9,228	0	9,228	
