Fiscal Year 2017	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Togo	13	118	1	7	1,564	3	0	0	15	0	0	20	0	0	9	0	0	0	0	0	0	95	1	0	9	51	0	49	1	6	0	0	0	0	0	6	7	30	3	42	7	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,073	0	2,073	
Tunisia	26	675	3	13	6,315	43	0	0	3	535	0	6	0	0	1	0	2	0	0	0	0	259	6	0	5	47	0	56	3	12	0	0	0	0	0	6	11	494	34	62	1	0	0	34	26	3	0	0	0	0	0	0	0	0	0	0	0	6	0	7	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8,705	0	8,705	
Uganda	50	548	3	13	5,803	5	0	0	42	0	0	11	0	0	52	0	0	0	0	0	0	637	32	0	12	155	0	218	5	27	0	0	0	0	2	8	37	261	20	59	10	0	0	8	10	12	0	0	0	0	0	0	0	0	0	1	0	2	0	0	15	0	266	0	3	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8,352	0	8,352	
Zambia	24	151	1	5	2,477	8	0	0	42	15	0	38	0	0	0	0	0	0	0	0	0	132	12	0	36	141	0	168	1	13	0	0	0	1	0	4	11	127	13	8	0	0	0	4	10	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,455	0	3,455	
Zimbabwe	56	59	13	42	5,890	8	0	0	395	0	0	2	0	0	505	1	2	0	0	0	0	551	24	0	46	239	0	280	6	53	0	0	2	3	0	19	16	287	23	22	0	0	0	21	16	12	0	0	0	0	0	0	0	0	0	0	0	6	0	0	20	0	18	0	11	11	8	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	8,669	0	8,669	
Totals for Africa	1,680	11,254	245	2,002	422,408	3,611	0	0	1,276	7,552	5	495	0	0	1,099	7	150	0	0	11	0	21,426	1,692	0	1,244	5,738	3	4,921	73	1,423	0	0	2,829	1,544	24	706	700	10,647	1,029	3,417	311	3	0	1,371	1,396	498	14	0	0	1	0	0	0	0	0	5	0	261	92	122	580	1	690	30	81	512	198	0	0	0	0	25	0	2	6	3	6	0	1	3	10	0	1	515,434	0	515,434	
																																																																																							
Asia																																																																																							
Afghanistan	111	405	0	3	1,378	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	156	21	0	28	83	0	134	0	4	0	0	0	0	0	7	1	312	5	218	9	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,900	0	2,900	
Bahrain	17	278	0	2	3,347	393	0	0	1	13	0	1	0	0	0	0	1	0	0	0	0	125	5	0	0	36	0	1	0	5	0	0	0	0	0	1	3	95	8	2	0	0	0	7	2	13	2	0	0	0	0	0	0	0	0	0	0	3	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,372	0	4,372	
