Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
India,"63,352","57,304","69,162","69,013","66,434","68,458","77,908","64,116","64,687","60,394"
Indonesia,"3,606","3,679","3,032","2,856","2,603","2,731","2,139","2,084","2,129","1,914"
Iran,"13,852","18,553","14,182","14,822","12,916","12,863","11,615","13,114","13,298","13,791"
Iraq,"4,795","12,110","19,855","21,133","20,369","9,552","19,153","21,107","18,904","14,203"
Ireland,"1,465","1,637","1,507","1,371","1,514","1,626","1,605","1,607","1,759","1,485"
Israel,"5,851","5,612","4,515","3,826","4,153","3,996","3,805","3,965","4,142","3,802"
Italy,"2,514","2,892","2,579","2,443","2,673","2,960","3,298","3,544","4,078","3,655"
Jamaica,"18,477","21,783","19,825","19,662","20,705","19,400","19,026","17,642","23,350","21,905"
Japan,"6,821","7,690","6,264","6,161","6,061","5,925","5,545","5,395","5,207","4,635"
Jordan,"3,936","4,282","3,868","3,876","4,099","4,188","5,187","4,664","5,269","5,264"
Kazakhstan,"1,630","1,562","1,282","1,235","1,202","1,241","1,221","1,201","1,310","1,377"
Kenya,"6,998","9,880","7,421","7,762","7,043","6,123","5,884","5,602","6,274","6,957"
Kiribati,4,10,6,,6,,6,4,9,
North Korea,,67,35,36,49,48,142,55,47,32
South Korea,"26,666","25,859","22,227","22,824","20,846","23,166","20,423","17,138","21,801","19,194"
Kosovo,,,355,670,782,839,758,814,"1,020","1,014"
Kuwait,"1,104","1,124","1,037",973,"1,044",937,"1,057","1,055","1,186","1,177"
Kyrgyzstan,632,574,507,542,648,652,707,790,847,715
Laos,"2,198","1,688","1,200",956,949,923,806,917,856,685
Latvia,455,444,435,426,436,424,384,480,391,359
Lebanon,"4,254","3,831","3,487","3,295","2,879","2,783","3,245","2,813","2,971","2,818"
Lesotho,16,14,23,25,17,20,13,23,19,24
Liberia,"7,193","7,641","4,837","4,151","4,109","3,334","3,874","3,795","3,619","4,155"
Libya,285,296,355,357,315,376,524,734,642,780
Lithuania,967,"1,069",985,936,924,854,747,750,735,645
Luxembourg,28,30,22,24,19,40,26,27,34,33
Macau,205,158,143,130,120,106,105,99,109,109
Macedonia,"1,107","1,128",963,"1,078",906,895,960,"1,060","1,262","1,027"
Madagascar,77,71,80,83,79,95,86,72,88,60
Malawi,133,164,164,123,192,159,172,160,205,228
Malaysia,"1,945","2,014","1,714","2,273","2,605","2,477","2,622","2,749","3,382","4,109"
Maldives,D,6,5,3,3,5,13,8,11,5
Mali,523,576,528,629,734,667,604,587,598,544
Malta,66,58,74,51,62,43,39,58,65,75
Marshall Islands,39,48,37,38,50,46,56,32,32,23
Mauritania,844,597,495,393,410,354,320,298,317,287
Mauritius,83,110,84,101,77,83,81,96,110,96
Mexico,"189,989","164,920","139,120","143,446","146,406","135,028","134,052","158,619","174,534","170,581"
"Micronesia, Federated States",13,16,10,9,13,4,5,6,11,6
Moldova,"1,692","2,295","1,981","2,258","2,021","2,485","2,341","2,496","2,929","2,480"
Monaco,7,4,12,6,5,8,8,10,11,14
Mongolia,659,831,594,774,691,729,651,644,750,661
Montenegro,,,120,204,265,265,289,251,387,323
Montserrat,61,43,27,30,27,,38,14,14,12
Morocco,"4,425","5,447","5,013","4,399","3,656","3,336","3,605","3,710","4,586","4,229"
Mozambique,69,66,53,60,94,73,71,107,101,96
Namibia,46,53,60,43,59,57,44,86,87,130
Nepal,"4,093","4,514","7,115","10,166","11,312","13,046","12,357","12,926","12,851","11,610"
Netherlands,"1,240","1,499","1,321","1,085","1,091","1,142","1,195","1,309","1,319","1,056"
Netherlands Antilles (former),78,97,77,86,106,128,45,22,18,9
New Caledonia,5,13,6,5,3,6,6,9,5,4
New Zealand,893,947,919,803,814,921,796,855,846,798
Nicaragua,"3,614","4,137","3,565","3,401","3,046","3,048","2,886","3,324","3,486","3,072"
Niger,107,183,96,96,48,37,71,55,119,116
Nigeria,"12,475","15,253","13,376","11,824","13,575","13,840","12,828","11,542","14,380","13,539"
Norway,350,407,334,339,276,335,271,310,362,290
Oman,70,74,63,60,74,73,90,85,116,104
Pakistan,"19,719","21,555","18,258","15,546","14,740","13,251","18,612","18,057","19,313","17,408"
Palau,6,16,18,7,10,16,12,15,14,13
Panama,"1,678","1,806","1,536","1,374","1,281","1,234","1,095","1,052","1,029",889
Papua New Guinea,15,19,30,20,21,27,18,11,23,18
Paraguay,481,530,467,500,467,448,391,382,434,391
Peru,"15,184","16,957","14,247","14,064","12,609","12,564","10,606","10,148","10,940","10,115"
Philippines,"54,030","60,029","58,173","57,011","57,327","54,446","49,996","56,478","53,287","49,147"
Poland,"8,354","8,754","7,643","6,863","6,300","6,430","5,689","5,275","5,603","4,845"
Portugal,772,946,755,821,811,918,892,857,"1,006",939
Qatar,151,134,148,193,141,191,202,229,272,224
Romania,"4,930","4,910","4,003","3,882","3,748","3,773","3,246","3,376","3,554","2,953"
Russia,"11,695","8,238","6,718","7,944","9,969","9,753","9,079","8,799","9,297","8,918"
Rwanda,378,952,489,520,592,540,555,732,"1,357","1,394"
Saint Kitts and Nevis,363,310,339,350,311,259,263,222,250,238
Saint Lucia,946,"1,027",872,785,919,853,844,739,777,777
Saint Vincent and the Grenadines,568,591,576,468,503,529,448,415,422,361
Samoa,227,250,219,267,238,237,239,207,219,194
Sao Tome and Principe,7,11,10,9,12,6,5,6,12,10
