Table 21.	
PERSONS NATURALIZED BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2008 TO 2017	

Region and country of birth	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
Netherlands	1219	889	691	778	919	786	665	778	829	699	
Netherlands Antilles (former)	43	40	56	60	76	82	43	35	45	42	
New Zealand	649	562	495	480	563	482	453	514	565	468	
Nicaragua	17954	7445	4047	5092	5870	5064	3775	3951	4663	4181	
Niger	73	67	89	124	143	167	161	180	140	126	
Nigeria	8597	9298	9126	9344	9322	9545	8667	10363	9520	7652	
Norway	153	128	91	90	87	80	92	80	93	60	
Oman	33	32	30	37	48	39	41	47	58	30	
Pakistan	11813	12528	11601	10655	11150	12948	11210	11912	11729	10166	
Palau	62	54	71	68	72	64	50	44	43	32	
Panama	2870	1694	1215	1340	1532	1598	1277	1412	1458	1266	
Papua New Guinea	14	18	16	17	16	20	7	21	19	13	
Paraguay	386	310	212	289	338	331	256	338	396	343	
Peru	15016	10349	8551	10266	11814	11782	9572	10701	11319	10014	
Philippines	58792	38934	35465	42520	44958	43489	34591	40815	41285	36828	
Poland	14237	10604	8038	8844	8715	8697	8304	7886	7198	5840	
Portugal	3988	2143	1266	1426	1607	1585	1587	1690	1665	1807	
Qatar	85	106	115	101	101	107	69	75	98	95	
Romania	4515	4388	4385	4314	4253	4050	3267	3478	3379	2986	
Russia	10778	9490	7566	8257	8154	8222	6824	6552	6067	5534	
Rwanda	101	161	278	265	285	374	302	300	369	267	
Saint Kitts and Nevis	529	389	305	306	319	315	270	360	345	317	
Saint Lucia	779	583	554	600	724	856	635	775	791	697	
Saint Vincent and the Grenadines	623	513	375	416	511	574	405	467	500	507	
Samoa	204	185	154	172	178	206	181	213	192	164	
Saudi Arabia	615	768	739	814	779	927	795	796	869	872	
Senegal	566	640	633	752	790	869	806	974	969	882	
Serbia	3	15	27	85	109	117	276	522	532	476	
Serbia and Montenegro (former)	3582	2597	2653	2185	2012	1830	1338	1297	1164	820	
Seychelles	26	19	12	19	8	15	9	7	17	5	
Sierra Leone	2018	1868	1878	1831	1861	1613	1406	1692	1662	1328	
Singapore	433	403	336	311	293	263	258	285	308	279	
Sint Maarten	X	X	X	-	-	-	7	17	33	21	
Slovakia	498	488	485	421	401	413	317	443	428	384	
Slovenia	80	64	64	57	64	58	52	61	63	52	
Somalia	3816	3818	5728	7971	9286	6875	4097	3691	3998	3774	
South Africa	2980	2436	2550	2566	2294	2283	2083	2538	2197	1901	
South Sudan	X	X	X	-	81	139	132	131	101	74	
Soviet Union (former)	3538	4263	2954	2812	2610	2807	2334	2372	2268	2123	
Spain	1958	1420	1115	1253	1242	1367	1326	1414	1515	1469	
Sri Lanka	1377	1367	1421	1334	1146	1258	1104	1246	1497	1364	
Sudan	2893	2855	2885	2444	2291	1924	1482	1740	1776	1348	
Suriname	202	198	161	194	189	160	127	183	164	143	
Swaziland	8	21	8	15	10	15	7	12	8	16	
Sweden	1207	940	774	872	798	783	724	885	795	708	
Switzerland	658	529	484	427	427	452	388	411	375	333	
Syria	2105	2484	2029	1981	1814	2196	1832	2004	2043	1789	
Taiwan	8711	7606	5621	5065	4573	5255	4326	4420	4043	4151	
Tajikistan	168	156	178	155	142	168	146	156	212	222	
Tanzania	464	567	466	516	543	647	525	553	639	547	
Thailand	6930	4962	4112	5299	6585	5544	4805	5213	5211	4672	
Togo	673	1132	1253	1523	1448	1380	1141	1171	1099	907	
Tonga	421	269	208	251	306	371	473	352	337	262	
Trinidad and Tobago	7305	5726	4740	5014	5596	5784	4147	4869	4867	4504	
Tunisia	390	479	407	377	345	362	310	314	352	344	
Turkey	2771	3219	3213	3100	3329	3390	2925	3150	3201	3108	
Turkmenistan	99	91	138	146	136	160	110	153	102	109	
Turks and Caicos Islands	33	21	20	36	49	47	26	33	31	26	
Uganda	541	489	637	838	820	763	724	817	823	742	
Ukraine	10992	9123	7345	8489	9459	8624	6984	8926	8374	6644	
United Arab Emirates	328	383	404	425	431	499	435	443	473	475	
United Kingdom	12095	10060	8401	9246	9145	9459	8906	10095	9562	9049	
United States	67	51	45	45	60	55	31	75	95	84	
Uruguay	924	634	585	751	849	933	812	902	1044	1028	
Uzbekistan	1377	1513	1472	2463	3071	2482	1725	1660	1685	1498	
Venezuela	6557	4735	5243	6856	7404	7648	6871	8192	7633	6463	
Vietnam	39584	31168	19313	20922	23490	24277	18837	21976	24848	19323	
Virgin Islands, British	67	43	36	48	41	45	49	59	46	42	
Yemen	1080	1243	1186	1320	1452	1355	1160	1284	1490	1445	
Zambia	290	289	317	337	338	352	318	370	404	401	
Zimbabwe	413	489	546	715	691	658	734	852	843	675	
All other countries 2	59	48	37	45	40	41	41	41	42	38	
Unknown	1134	940	326	337	359	201	142	89	26	206	
NA Not available.	
X Not applicable.	
D Data withheld to limit disclosure.	
- Represents zero.	
1 Data for South Korea prior to Fiscal Year 2009 include a small number of cases from North Korea.	
2 Includes countries with less than 10 naturalizations per year.	
Note: Based on N-400 data for persons aged 18 and over.	
Source: U.S. Department of Homeland Security.	
